주당학습시간,출석률,학습자원접근,비교과활동,학습동기,인터넷접근,성별,나이,선호학습유형,온라인강좌수,토론참여,과제완료율,시험점수,스트레스수준,최종성적
19,64,1,0,0,1,0,19,2,8,1,59,40,0,D
19,64,1,0,0,1,0,23,3,16,0,90,66,0,C
19,64,1,0,0,1,0,28,1,19,0,67,99,0,A
19,64,1,1,0,1,0,19,2,8,1,59,40,0,D
19,64,1,1,0,1,0,23,3,16,0,90,66,0,C
19,64,1,1,0,1,0,28,1,19,0,67,99,0,A
19,64,0,1,0,1,0,19,2,8,1,59,40,0,D
19,64,0,1,0,1,0,23,3,16,0,90,66,0,C
19,64,0,1,0,1,0,28,1,19,0,67,99,0,A
19,64,1,1,1,1,0,19,2,8,1,59,40,0,D
19,64,1,1,1,1,0,23,3,16,0,90,66,0,C
19,64,1,1,1,1,0,28,1,19,0,67,99,0,A
19,64,1,0,0,1,0,19,2,8,1,59,40,0,D
19,64,1,0,0,1,0,23,3,16,0,90,66,0,C
19,64,1,0,0,1,0,28,1,19,0,67,99,0,A
19,64,2,0,1,1,0,19,2,8,1,59,40,0,D
19,64,2,0,1,1,0,23,3,16,0,90,66,0,C
19,64,2,0,1,1,0,28,1,19,0,67,99,0,A
24,98,1,1,1,1,1,29,0,3,0,65,46,1,D
24,98,1,1,1,1,1,27,0,0,1,71,83,2,B
24,98,1,1,1,1,1,25,1,5,1,61,95,2,A
24,98,1,1,1,1,1,29,0,3,0,65,46,1,D
24,98,1,1,1,1,1,27,0,0,1,71,83,2,B
24,98,1,1,1,1,1,25,1,5,1,61,95,2,A
24,98,0,0,2,1,1,29,0,3,0,65,46,1,D
24,98,0,0,2,1,1,27,0,0,1,71,83,2,B
24,98,0,0,2,1,1,25,1,5,1,61,95,2,A
24,98,0,0,1,1,1,29,0,3,0,65,46,1,D
24,98,0,0,1,1,1,27,0,0,1,71,83,2,B
24,98,0,0,1,1,1,25,1,5,1,61,95,2,A
24,98,1,1,2,1,1,29,0,3,0,65,46,1,D
24,98,1,1,2,1,1,27,0,0,1,71,83,2,B
24,98,1,1,2,1,1,25,1,5,1,61,95,2,A
24,98,0,0,0,0,1,29,0,3,0,65,46,1,D
24,98,0,0,0,0,1,27,0,0,1,71,83,2,B
24,98,0,0,0,0,1,25,1,5,1,61,95,2,A
29,89,1,1,1,1,1,20,0,17,1,75,54,1,D
29,89,1,1,1,1,1,23,2,4,1,59,42,1,D
29,89,1,1,1,1,1,23,0,1,0,96,62,1,C
29,89,0,1,0,1,1,20,0,17,1,75,54,1,D
29,89,0,1,0,1,1,23,2,4,1,59,42,1,D
29,89,0,1,0,1,1,23,0,1,0,96,62,1,C
19,92,1,1,1,1,0,19,3,12,1,63,40,1,D
19,92,1,1,1,1,0,26,2,3,0,86,94,1,A
19,92,2,0,1,1,0,19,3,12,1,63,40,1,D
19,92,2,0,1,1,0,26,2,3,0,86,94,1,A
19,92,2,1,1,1,0,19,3,12,1,63,40,1,D
19,92,2,1,1,1,0,26,2,3,0,86,94,1,A
19,92,1,1,1,1,0,19,3,12,1,63,40,1,D
